"","speed"
"1",28
"2",22
"3",36
"4",26
"5",28
"6",28
"7",26
"8",24
"9",32
"10",30
"11",27
"12",24
"13",33
"14",21
"15",36
"16",32
"17",31
"18",25
"19",24
"20",25
"21",28
"22",36
"23",27
"24",32
"25",34
"26",30
"27",25
"28",26
"29",26
"30",25
"31",-44
"32",23
"33",21
"34",30
"35",33
"36",29
"37",27
"38",29
"39",28
"40",22
"41",26
"42",27
"43",16
"44",31
"45",29
"46",36
"47",32
"48",28
"49",40
"50",19
"51",37
"52",23
"53",32
"54",29
"55",-2
"56",24
"57",25
"58",27
"59",24
"60",16
"61",29
"62",20
"63",28
"64",27
"65",39
"66",23
